"species"	"IUCN_TS_sum.x"	"IUCN_TS_sum_InclOld.x"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"	"Predicted_class_LEAST"	"Predicted_PnonLC_LEAST"	"Predicted_PLC_LEAST"	"subset_plot_iucn_LEAST"	"subset_plot_IUCNpreds1_LEAST"	"subset_plot_IUCNpreds2_LEAST"	"subset_plot_IUCNpreds1_exp_LEAST"	"subset_plot_IUCNpreds2_exp_LEAST"	"FD_G"	"ED"	"FDcat"	"EDcat"	"REC"	"OLD"	"PRED"	"Subset2"	"RLa"	"RLro"	"RLr"	"RLa_MLp_BS"	"RLro_MLpr_BS"	"RLr_MLpr_BS"	"RLa_MLp_WS"	"RLro_MLpr_WS"	"RLr_MLpr_WS"	"RLro_MLpr_EG_BS"	"RLro_MLpr_EG_WS"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"AOO2km"	"EOO_rCAT_conR2"	"HFI"	"HPD"	"FLO"	"bio4"	"bio15"	"Tflex_mean"	"Pflex_mean"	"ECO"	"TDWG3"	"preds"	"IUCN_TS_detail"	"IUCN_TS_sum.y"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld.y"
"Acrocomia media"	"LC"	"LC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NA"	"NA"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.235569164357405	"11.4220005410142"	"NO"	"YES"	"YES"	"NO"	"NO"	"NOPRED_data_rec_noOcc"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"Not Threatened"	"LC"	"Not Threatened"	"LC"
"Acrocomia totai"	"NE"	"NE"	"PREDICTED"	"LC"	"0.04"	"0.96"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"3"	"3"	"14.1371669411541"	"3"	"3"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"YES"	"NO"	"NO"	"YES"	"NO"	"LC"	"0.241954944223216"	"0.758045055776784"	"NA"	"LC"	"LC"	"LC"	"LC"	0.237347113205753	"13.6718982001855"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	14	13	13	56	2171030.99592483	29.64041525977	75.8669164563928	0.0499400178502713	229.19588633946	47.2921983173915	0.700131936471274	0.194485294117647	8	6	"YES"	"NE"	"NE"	"NE"	"NE"
"Actinokentia divaricata"	"LC"	"LC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"3.65"	"2.6"	"1.1"	"1.64724174803225"	"2.6"	"1.1"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.213491267005876	"6.08908574583375"	"NO"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	32	11	18	100	4150.03153770552	26.5847623348236	53.6260961256921	0.0165909527804615	245.567474842072	36.4130727052689	0.747150363530701	0.287889953328421	1	1	"YES"	"LC"	"LC"	"LC"	"LC"
"Actinokentia huerlimannii"	"nonLC"	"nonLC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"1.42"	"3"	"1.3"	"2.65464579228338"	"3"	"1.3"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.217803146245844	"6.08908574583375"	"NO"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	4	2	2	8	9.97586845537426	21.4226026535034	40.9252405166626	0.00745066421222873	256.761337280273	31.0117797851562	0.734939867142759	0.326996197718631	1	1	"YES"	"EN"	"nonLC"	"EN"	"nonLC"
"Actinorhytis calapparia"	"NE"	"NE"	"PREDICTED"	"LC"	"0.062"	"0.938"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"5.27"	"10"	"5.5"	"158.388629618485"	"10"	"5.5"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"LC"	"0.483860030712101"	"0.516139969287899"	"NA"	"LC"	"LC"	"LC"	"LC"	0.247171277074936	"14.8947049399533"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	16	14	14	60	647217.700362143	20.3846895138423	29.0284440517426	0.0296207315113861	53.4430890401204	24.9207116444906	0.822435360530137	0.480754426481908	6	2	"YES"	"NE"	"NE"	"NE"	"NE"
"Adonidia dransfieldii"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.89"	"0.11"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.712287202156927"	"0.287712797843073"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.221748200322881	"NA"	"NO"	"NA"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	1	1	1	4	NA	37.6747970581055	204.897018432617	0.272148996591568	50.4258155822754	31.940710067749	0.851461463328445	0.322128851540616	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Adonidia merrillii"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.398"	"0.602"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"E"	"0"	"2.42"	"2.5"	"1.3"	"2.21220482690281"	"2.5"	"1.3"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"YES"	"nonLC"	"0.660367667425759"	"0.339632332574241"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.214810806485171	"8.609747038664"	"NO"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	3	3	3	12	183896.735481535	40.6273384094238	1341.01700846354	0.0897866437832514	56.7573623657227	59.5497093200684	0.837654780991275	0.122249388753056	2	2	"YES"	"NE"	"NE"	"NT"	"nonLC"
"Aiphanes acanthophylla"	"LC"	"LC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"1.4"	"1.4"	"1.43675504024173"	"1.4"	"1.4"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.248963279820534	"6.4317004472347"	"NO"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_noOcc"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"Not Threatened"	"LC"	"Not Threatened"	"LC"
"Aiphanes acaulis"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.688"	"0.312"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"A"	"1"	"2.16"	"1"	"1"	"0.523598775598299"	"1"	"1"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.716182893349935"	"0.283817106650065"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.330608698825847	"6.59932985629873"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	5	3	3	20	4119.5531563086	29.9751659393311	30.3479034423828	0.0176526591181755	26.2567001342773	19.0217910766602	0.833374963893487	0.570172582220775	2	1	"YES"	"NE"	"NE"	"Threatened"	"nonLC"
"Aiphanes argos"	"nonLC"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.221748200322881	"NA"	"NO"	"NA"	"YES"	"NO"	"NO"	"NOPRED_data_rec_noOcc"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"CR"	"nonLC"	"CR"	"nonLC"
"Aiphanes bicornis"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.984"	"0.016"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"NA"	"0.6"	"0.8"	"0.15079644737231"	"0.8"	"0.6"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.737808097370902"	"0.262191902629098"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.250941416061364	"6.49205226348449"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	3	1	1	8	0.0588528803706393	30.003210067749	21.6242841084798	0.0693799356619517	45.5692100524902	66.4047673543294	0.829646244304011	0.148809523809524	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Aiphanes buenaventurae"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.952"	"0.048"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"0.47"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.740773800946242"	"0.259226199053758"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.257043132143021	"6.58214419704863"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	1	1	1	4	NA	24.1966724395752	9.14694023132324	0.0455791242420673	30.3736896514893	38.8465042114258	0.860849841803708	0.169381107491857	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Aiphanes chiribogensis"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.5"	"0.5"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	"1"	"1.95"	"1.1"	"1.1"	"0.696909970321336"	"1.1"	"1.1"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.696720363859869"	"0.303279636140131"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.248843534743866	"6.58842033740123"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	27	7	10	60	4212.58405223245	24.8172445650454	81.9201494852702	0.0276135847800308	23.3440156159578	49.9644008212619	0.797777117536488	0.193720379146919	2	1	"YES"	"NE"	"NE"	"VU"	"nonLC"
"Aiphanes concinna"	"NE"	"NE"	"PREDICTED"	"LC"	"0.332"	"0.668"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.641393700173598"	"0.358606299826402"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.221748200322881	"NA"	"NO"	"NA"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	12	8	9	48	72501.3993286784	32.715295791626	327.348213354747	0.0283994889468886	33.6950265566508	32.0728675524394	0.786470483045036	0.349354838709678	4	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Aiphanes deltoidea"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.346"	"0.654"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	"1"	"4.05"	"1.3"	"0.7"	"0.333532420056116"	"1.3"	"0.7"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"	"nonLC"	"0.537877232211234"	"0.462122767788766"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.25416473283374	"6.41782496786514"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	15	9	11	56	63918.6136152754	6.84142034200534	2.66581349770228	0.0179231201201522	43.6085866292318	14.5678866068522	0.814777415028553	0.627773964767787	4	3	"YES"	"NE"	"NE"	"Possibly Threatened"	"nonLC"
