"species"	"Americas"	"AfricaWAsia"	"EAsiaPacific"	"Climbing"	"Acaulescent"	"Erect"	"StemSolitary"	"StemArmed"	"LeavesArmed"	"MaxStemHeight_m"	"MaxStemDia_cm"	"UnderstoreyCanopy"	"MaxLeafNumber"	"Max_Blade_Length_m"	"Max_Rachis_Length_m"	"Max_Petiole_length_m"	"AverageFruitLength_cm"	"MinFruitLength_cm"	"MaxFruitLength_cm"	"AverageFruitWidth_cm"	"MinFruitWidth_cm"	"MaxFruitWidth_cm"	"FruitSizeCategorical"	"FruitShape"	"Conspicuousness"	"AnimalFood"	"EnvironmentalUses"	"Fuels"	"GeneSources"	"HumanFood"	"InvertebrateFood"	"Materials"	"Medicines"	"Poisons"	"SocialUses"	"IUCN_TS_sum"	"IUCN_TS_sum_InclOld"	"Subset"	"Predicted_class_LEAST"	"Predicted_PnonLC_LEAST"	"Predicted_PLC_LEAST"	"Expert"	"subset_plot_iucn_LEAST"	"subset_plot_IUCNpreds1_LEAST"	"subset_plot_IUCNpreds2_LEAST"	"subset_plot_IUCNpreds1_exp_LEAST"	"subset_plot_IUCNpreds2_exp_LEAST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"
"Acrocomia media"	1	0	0	0	0	1	"1"	1	1	15	30	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"NO_ML"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	NA	NA	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia totai"	1	0	0	0	0	1	"1"	1	1	NA	NA	"NA"	NA	NA	NA	NA	3	2.5	3.5	3	2.5	3.5	"small"	"NA"	"conspicuous"	0	0	0	0	0	0	0	1	0	0	"NE"	"NE"	"PREDICTED"	"LC"	"0.241954944223216"	"0.758045055776784"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	NA	3	3	14.1371669411541	3	3	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	NA	NA	"YES"	"NO"	"NO"	"YES"	"NO"
"Actinokentia divaricata"	0	0	1	0	0	1	"1"	0	0	9	9	"canopy"	7	2.35	2.1	1.3	2.6	1.8	3.4	1.1	0.8	1.4	"small"	"globose"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	3.65	2.6	1.1	1.64724174803225	2.6	1.1	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Actinokentia huerlimannii"	0	0	1	0	0	1	"1"	0	0	9	36	"canopy"	10	1.2	NA	0.22	3	NA	NA	1.3	NA	NA	"small"	"globose"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	1.42	3	1.3	2.65464579228338	3	1.3	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Actinorhytis calapparia"	0	0	1	0	0	1	"1"	0	0	40	30	"canopy"	13	4.76	4.3	0.51	10	NA	NA	5.5	5	6	"large"	"ovoid"	"conspicuous"	1	1	0	0	1	0	1	1	0	1	"NE"	"NE"	"PREDICTED"	"LC"	"0.483860030712101"	"0.516139969287899"	NA	NA	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	5.27	10	5.5	158.388629618485	10	5.5	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"
"Adonidia dransfieldii"	0	0	1	NA	NA	NA	"NA"	NA	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.712287202156927"	"0.287712797843073"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Adonidia merrillii"	0	0	1	0	0	1	"1"	0	0	7	30	"canopy"	17	2.2	2	0.22	2.5	NA	NA	1.3	NA	NA	"small"	"elongate"	"conspicuous"	0	1	0	0	0	0	1	0	0	1	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.660367667425759"	"0.339632332574241"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	2.42	2.5	1.3	2.21220482690281	2.5	1.3	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"YES"
"Aiphanes acanthophylla"	1	0	0	0	0	1	"NA"	NA	1	NA	NA	"NA"	NA	NA	NA	NA	1.4	NA	NA	1.4	NA	NA	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"NO_ML"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	NA	1.4	1.4	1.43675504024173	1.4	1.4	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Aiphanes acaulis"	1	0	0	0	1	0	"1"	0	1	0	NA	"understorey"	10	1.83	1.33	0.33	1	NA	NA	1	NA	NA	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.716182893349935"	"0.283817106650065"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"A"	1	2.16	1	1	0.523598775598299	1	1	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Aiphanes argos"	1	0	0	NA	NA	NA	"NA"	NA	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Aiphanes bicornis"	1	0	0	0	0	1	"1"	1	1	0.5	2.5	"understorey"	13	0.54	0.54	NA	0.6	NA	NA	0.8	NA	NA	"small"	"ovoid"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.737808097370902"	"0.262191902629098"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	0.6	0.8	0.15079644737231	0.8	0.6	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA
"Aiphanes buenaventurae"	1	0	0	0	0	1	"2"	NA	1	4	NA	"understorey"	8	0.22	0.78	0.25	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.740773800946242"	"0.259226199053758"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	0.47	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA
"Aiphanes chiribogensis"	1	0	0	0	0	1	"1"	1	1	3	6	"understorey"	9	1.45	1	0.5	1.1	NA	NA	1.1	1	1.2	"small"	"globose"	"conspicuous"	0	0	0	0	0	0	0	0	0	0	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.696720363859869"	"0.303279636140131"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	1.95	1.1	1.1	0.696909970321336	1.1	1.1	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"
"Aiphanes concinna"	1	0	0	NA	NA	NA	"NA"	NA	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.641393700173598"	"0.358606299826402"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Aiphanes deltoidea"	1	0	0	0	0	1	"2"	1	1	2	6	"understorey"	12	2.95	1.9	1.1	1.3	NA	NA	0.7	NA	NA	"small"	"globose"	"conspicuous"	0	0	0	0	0	0	1	0	0	0	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.537877232211234"	"0.462122767788766"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	4.05	1.3	0.7	0.333532420056116	1.3	0.7	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Aiphanes duquei"	1	0	0	0	0	1	"1"	1	1	5	5	"understorey"	9	1.35	1.1	0.28	1.05	0.9	1.2	NA	NA	NA	"small"	"globose"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.740431129043374"	"0.259568870956626"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	1.63	1.05	NA	NA	1.05	NA	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Aiphanes eggersii"	1	0	0	0	0	1	"0"	1	1	10	8	"canopy"	10	2.2	2.05	0.17	1.75	NA	NA	1.75	1.5	2	"small"	"ovoid"	"conspicuous"	0	0	0	0	0	0	0	0	0	0	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.644559011789943"	"0.355440988210057"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	2.37	1.75	1.75	2.80616218797213	1.75	1.75	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"
"Aiphanes erinacea"	1	0	0	0	0	1	"0"	1	1	5	5	"understorey"	8	2.2	1.65	0.6	0.75	NA	NA	0.75	0.7	0.8	"small"	"globose"	"conspicuous"	0	0	0	0	0	0	0	0	0	0	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.578700865908979"	"0.421299134091021"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	2.8	0.75	0.75	0.220893233455532	0.75	0.75	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"
"Aiphanes gelatinosa"	1	0	0	0	0	1	"2"	1	1	9	10	"canopy"	11	5.6	4	1.7	1.5	NA	NA	1.5	1	1.5	"small"	"globose"	"cryptic"	0	0	0	0	0	0	0	0	0	0	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.704694472880469"	"0.295305527119531"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	7.3	1.5	1.5	1.76714586764426	1.5	1.5	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"
"Aiphanes graminifolia"	1	0	0	0	0	1	"0"	1	1	5	2	"understorey"	6	0.89	0.89	NA	0.5	NA	NA	0.5	NA	NA	"small"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.744072996597943"	"0.255927003402057"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	0.5	0.5	0.0654498469497874	0.5	0.5	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA
"Aiphanes grandis"	1	0	0	0	0	1	"1"	1	1	21	20	"canopy"	10	5.5	2.5	2.75	2.15	NA	NA	2.15	2	3	"small"	"elongate"	"cryptic"	0	0	0	0	1	0	0	0	0	0	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	8.25	2.15	2.15	5.20372098143674	2.15	2.15	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"NO"
"Aiphanes hirsuta"	1	0	0	0	0	1	"0"	1	1	10	10	"canopy"	8	2.94	1.94	NA	1.35	NA	NA	1.35	0.7	2	"small"	"globose"	"conspicuous"	0	0	0	0	0	0	0	0	0	0	"NE"	"LC"	"PREDICTED"	"LC"	"0.247484393081488"	"0.752515606918512"	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	NA	1.35	1.35	1.28824933751266	1.35	1.35	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"
"Aiphanes horrida"	1	0	0	0	0	1	"1"	1	1	10	15	"canopy"	15	2	NA	NA	1.95	1.6	2.3	1.95	1.6	2.3	"small"	"ovoid"	"conspicuous"	0	1	0	0	1	0	1	1	0	1	"NE"	"NE"	"PREDICTED"	"LC"	"0.129895097709235"	"0.870104902290765"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	NA	1.95	1.95	3.88241947121444	1.95	1.95	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"
"Aiphanes killipii"	1	0	0	NA	NA	NA	"NA"	NA	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.741594705173322"	"0.258405294826678"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Aiphanes leiostachys"	1	0	0	0	0	1	"0"	1	1	5	3	"understorey"	11	2.08	1.08	NA	NA	NA	NA	NA	NA	NA	"NA"	"globose"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.743227430137923"	"0.256772569862077"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Aiphanes lindeniana"	1	0	0	0	0	1	"2"	1	1	7	10	"canopy"	10	1.31	0.75	0.61	1.5	NA	NA	1.5	1.4	1.6	"small"	"NA"	"conspicuous"	0	0	0	0	0	0	0	0	0	0	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.556938147714372"	"0.443061852285628"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	1.92	1.5	1.5	1.76714586764426	1.5	1.5	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"
"Aiphanes linearis"	1	0	0	0	0	1	"0"	1	1	12	12	"canopy"	9	2.73	2.39	0.49	4.5	NA	NA	2.65	1.8	3.5	"large"	"globose"	"NA"	0	0	0	0	1	0	0	0	0	0	"NE"	"LC"	"PREDICTED"	"nonLC"	"0.631222685730652"	"0.368777314269348"	NA	"LC"	"LC"	"nonLC"	"LC"	"nonLC"	"Americas"	"E"	1	3.22	4.5	2.65	16.5463758073757	4.5	2.65	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"NO"
"Aiphanes macroloba"	1	0	0	0	0	1	"0"	1	1	3	3	"understorey"	8	1.86	1.5	0.41	1	NA	NA	0.7	NA	NA	"small"	"ovoid"	"conspicuous"	0	0	0	0	0	0	0	0	0	0	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.653323153237693"	"0.346676846762307"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	2.27	1	0.7	0.256563400043166	1	0.7	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"
"Aiphanes minima"	1	0	0	0	0	1	"1"	1	1	18	50	"canopy"	9	4.2	3	1.25	1.4	1.2	1.6	1.55	1.4	1.7	"small"	"globose"	"conspicuous"	0	1	0	0	1	0	1	1	0	0	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	5.45	1.4	1.55	1.59069308026763	1.55	1.4	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"
"Aiphanes multiplex"	1	0	0	0	0	1	"NA"	NA	1	NA	NA	"NA"	NA	NA	NA	NA	1.6	NA	NA	1.45	NA	NA	"small"	"NA"	"conspicuous"	0	0	0	0	0	0	0	0	0	0	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	1.6	1.45	1.76138628111268	1.6	1.45	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"
"Aiphanes parvifolia"	1	0	0	0	0	1	"1"	0	1	2	3	"understorey"	10	0.95	0.7	0.28	0.85	0.7	1	NA	NA	NA	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.666726551451111"	"0.333273448548889"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	1.23	0.85	NA	NA	0.85	NA	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA
