"Region"	"Species"
"BZL"	"Acrocomia aculeata, Acrocomia emensis, Allagoptera arenaria, Allagoptera campestris, Allagoptera caudescens, Allagoptera leucocalyx, Astrocaryum aculeatissimum, Astrocaryum campestre, Attalea amylacea, Attalea apoda, Attalea burretiana, Attalea compta, Attalea dubia, Attalea exigua, Attalea funifera, Attalea geraensis, Attalea humilis, Attalea lauromuelleriana, Attalea phalerata, Attalea speciosa, Attalea vitrivir, Bactris acanthocarpa, Bactris bahiensis, Bactris caryotifolia, Bactris ferruginea, Bactris glaucescens, Bactris hatschbachii, Bactris hirta, Bactris pickelii, Bactris setosa, Bactris timbuiensis, Bactris vulgaris, Butia archeri, Butia capitata, Butia microspadix, Butia paraguayensis, Butia purpurascens, Cocos nucifera, Copernicia prunifera, Desmoncus leptoclonos, Desmoncus orthacanthos, Desmoncus polyacanthos, Euterpe edulis, Geonoma elegans, Geonoma pauciflora, Geonoma pohliana, Geonoma schottiana, Mauritia flexuosa, Mauritiella armata, Syagrus allagopteroides, Syagrus angustifolia, Syagrus botryophora, Syagrus campestris, Syagrus comosa, Syagrus coronata, Syagrus duartei, Syagrus evansiana, Syagrus flexuosa, Syagrus glaucescens, Syagrus glazioviana, Syagrus gouveiana, Syagrus graminifolia, Syagrus hoehnei, Syagrus insignis, Syagrus itacambirana, Syagrus kellyana, Syagrus loefgrenii, Syagrus lorenzoniorum, Syagrus macrocarpa, Syagrus mendanhensis, Syagrus minor, Syagrus oleracea, Syagrus picrophylla, Syagrus pleioclada, Syagrus pseudococos, Syagrus romanzoffiana, Syagrus ruschiana, Syagrus schizophylla, Syagrus vagans, Syagrus weddelliana"
"BZN"	"Acrocomia aculeata, Aiphanes deltoidea, Aiphanes horrida, Aiphanes ulei, Allagoptera campestris, Allagoptera leucocalyx, Aphandra natalia, Astrocaryum acaule, Astrocaryum aculeatum, Astrocaryum campestre, Astrocaryum chambira, Astrocaryum ciliatum, Astrocaryum faranae, Astrocaryum farinosum, Astrocaryum ferrugineum, Astrocaryum giganteum, Astrocaryum jauari, Astrocaryum javarense, Astrocaryum minus, Astrocaryum murumuru, Astrocaryum paramaca, Astrocaryum rodriguesii, Astrocaryum sciophilum, Astrocaryum sociale, Astrocaryum tucuma, Astrocaryum ulei, Astrocaryum vulgare, Attalea attaleoides, Attalea butyracea, Attalea dahlgreniana, Attalea eichleri, Attalea huebneri, Attalea insignis, Attalea luetzelburgii, Attalea maripa, Attalea microcarpa, Attalea phalerata, Attalea plowmanii, Attalea princeps, Attalea racemosa, Attalea speciosa, Attalea spectabilis, Attalea tessmannii, Bactris acanthocarpa, Bactris acanthocarpoides, Bactris balanophora, Bactris bidentula, Bactris bifida, Bactris brongniartii, Bactris campestris, Bactris chaveziae, Bactris concinna, Bactris constanciae, Bactris corossilla, Bactris cuspidata, Bactris elegans, Bactris fissifrons, Bactris gasipaes, Bactris gastoniana, Bactris glaucescens, Bactris halmoorei, Bactris hirta, Bactris killipii, Bactris macroacantha, Bactris major, Bactris maraja, Bactris martiana, Bactris nancibaensis, Bactris oligocarpa, Bactris pliniana, Bactris rhaphidacantha, Bactris riparia, Bactris simplicifrons, Bactris sphaerocarpa, Bactris syagroides, Bactris tefensis, Bactris tomentosa, Bactris turbinocarpa, Barcella odora, Chamaedorea angustisecta, Chamaedorea pauciflora, Chamaedorea pinnatifrons, Chelyocarpus chuco, Chelyocarpus ulei, Cocos nucifera, Copernicia prunifera, Desmoncus giganteus, Desmoncus horridus, Desmoncus leptoclonos, Desmoncus mitis, Desmoncus parvulus, Desmoncus polyacanthos, Desmoncus pumilus, Desmoncus setosus, Desmoncus vacivus, Dictyocaryum ptarianum, Elaeis oleifera, Euterpe catinga, Euterpe longibracteata, Euterpe oleracea, Euterpe precatoria, Geonoma aspidiifolia, Geonoma baculifera, Geonoma brongniartii, Geonoma camana, Geonoma deversa, Geonoma euspatha, Geonoma laxiflora, Geonoma leptospadix, Geonoma macrostachys, Geonoma maxima, Geonoma occidentalis, Geonoma oldemanii, Geonoma oligoclona, Geonoma poeppigiana, Geonoma poiteauana, Geonoma stricta, Geonoma umbraculiformis, Geonoma undata, Hyospathe elegans, Iriartea deltoidea, Iriartella setigera, Iriartella stenocarpa, Itaya amicorum, Leopoldinia piassaba, Leopoldinia pulchra, Lepidocaryum tenue, Manicaria martiana, Manicaria saccifera, Mauritia carana, Mauritia flexuosa, Mauritiella aculeata, Mauritiella armata, Oenocarpus bacaba, Oenocarpus balickii, Oenocarpus bataua, Oenocarpus circumtextus, Oenocarpus distichus, Oenocarpus mapora, Oenocarpus minor, Oenocarpus simplex, Pholidostachys synanthera, Phytelephas macrocarpa, Prestoea schultzeana, Prestoea tenuiramosa, Raphia taedigera, Socratea exorrhiza, Socratea salazarii, Syagrus allagopteroides, Syagrus cocoides, Syagrus comosa, Syagrus flexuosa, Syagrus glazioviana, Syagrus graminifolia, Syagrus inajai, Syagrus oleracea, Syagrus orinocensis, Syagrus sancona, Syagrus smithii, Syagrus stratincola, Syagrus vermicularis, Wendlandiella gracilis, Wettinia augusta, Wettinia drudei"
"BZS"	"Acrocomia emensis, Acrocomia totai, Allagoptera arenaria, Allagoptera campestris, Allagoptera leucocalyx, Astrocaryum aculeatissimum, Attalea dubia, Bactris hatschbachii, Bactris setosa, Bactris vulgaris, Butia catarinensis, Butia eriospatha, Butia exilata, Butia lallemantii, Butia microspadix, Butia odorata, Butia paraguayensis, Butia pubispatha, Butia witeckii, Butia yatay, Euterpe edulis, Geonoma elegans, Geonoma pohliana, Geonoma schottiana, Syagrus hoehnei, Syagrus oleracea, Syagrus romanzoffiana, Trithrinax brasiliensis"
"CAB"	"Eremospatha cabrae, Eremospatha haullevilleana, Eremospatha wendlandiana, Hyphaene guineensis, Laccosperma laeve, Laccosperma robustum, Oncocalamus macrospathus, Podococcus barteri, Raphia matombe, Raphia palma-pinus, Raphia regalis, Raphia rostrata, Raphia textilis, Sclerosperma mannii"
"CAF"	"Borassus aethiopum, Borassus akeassii, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha cabrae, Eremospatha cuspidata, Eremospatha haullevilleana, Eremospatha hookeri, Eremospatha laurentii, Eremospatha macrocarpa, Eremospatha wendlandiana, Hyphaene thebaica, Laccosperma opacum, Laccosperma robustum, Laccosperma secundiflorum, Phoenix dactylifera, Phoenix reclinata, Raphia gentiliana, Raphia hookeri, Raphia laurentii, Raphia mambillensis, Raphia monbuttorum, Raphia regalis, Raphia vinifera"
"CAL"	"Phoenix dactylifera, Washingtonia filifera, Washingtonia robusta"
"CAY"	"Coccothrinax proctorii, Cocos nucifera, Phoenix dactylifera, Roystonea regia, Thrinax radiata"
"CBD"	"Areca catechu, Areca riparia, Areca triandra, Arenga caudata, Arenga pinnata, Arenga westerhoutii, Borassus flabellifer, Calamus acanthophyllus, Calamus bousigonii, Calamus erinaceus, Calamus godefroyi, Calamus jenkinsianus, Calamus kampucheaensis, Calamus lateralis, Calamus latifolius, Calamus melanacanthos, Calamus nitidus, Calamus rudentum, Calamus salicifolius, Calamus tenuis, Calamus tetradactylus, Calamus viminalis, Caryota mitis, Caryota sympetala, Cocos nucifera, Corypha lecomtei, Corypha umbraculifera, Corypha utan, Korthalsia bejaudii, Korthalsia laciniosa, Licuala paludosa, Licuala spinosa, Livistona saribus, Myrialepis paradoxa, Nypa fruticans, Oncosperma tigillarium, Phoenix loureiroi, Phoenix paludosa, Pinanga sylvestris, Plectocomia elongata, Plectocomia pierreana, Plectocomiopsis geminiflora, Rhapis subtilis"
"CGS"	"Cocos nucifera"
"CHA"	"Borassus aethiopum, Elaeis guineensis, Hyphaene thebaica, Phoenix dactylifera, Raphia monbuttorum"
"CHC"	"Areca catechu, Areca triandra, Arenga pinnata, Arenga westerhoutii, Borassus flabellifer, Calamus acanthospathus, Calamus albidus, Calamus erectus, Calamus flagellum, Calamus gracilis, Calamus henryanus, Calamus inermis, Calamus oxycarpus, Calamus rhabdocladus, Calamus viminalis, Calamus wuliangshanensis, Caryota maxima, Caryota monostachya, Caryota obtusa, Caryota urens, Cocos nucifera, Guihaia argyrata, Lanonia dasyantha, Livistona saribus, Livistona speciosa, Phoenix dactylifera, Phoenix roebelenii, Pinanga acuminata, Pinanga baviensis, Pinanga sylvestris, Plectocomia assamica, Plectocomia himalayana, Plectocomia pierreana, Rhapis excelsa, Rhapis humilis, Salacca griffithii, Trachycarpus fortunei, Trachycarpus martianus, Trachycarpus nanus, Trachycarpus princeps, Wallichia caryotoides, Wallichia disticha, Wallichia gracilis, Wallichia oblongifolia"
"CHH"	"Areca catechu, Arenga caudata, Arenga pinnata, Arenga westerhoutii, Calamus egregius, Calamus inermis, Calamus jenkinsianus, Calamus multispicatus, Calamus rhabdocladus, Calamus tetradactyloides, Calamus tetradactylus, Calamus walkeri, Caryota maxima, Caryota mitis, Chuniophoenix hainanensis, Chuniophoenix nana, Cocos nucifera, Lanonia hainanensis, Licuala fordiana, Livistona chinensis, Livistona speciosa, Nypa fruticans, Phoenix loureiroi, Pinanga baviensis, Plectocomia microstachys, Rhapis excelsa, Rhapis gracilis"
"CHI"	"NA"
"CHM"	"NA"
"CHN"	"NA"
"CHQ"	"NA"
"CHS"	"Areca triandra, Arenga caudata, Arenga longicarpa, Arenga pinnata, Arenga westerhoutii, Calamus compsostachys, Calamus dianbaiensis, Calamus flagellum, Calamus henryanus, Calamus inermis, Calamus jenkinsianus, Calamus macrorhynchus, Calamus melanochrous, Calamus oxycarpus, Calamus rhabdocladus, Calamus tetradactylus, Calamus thysanolepis, Calamus walkeri, Caryota maxima, Caryota mitis, Caryota monostachya, Caryota urens, Cocos nucifera, Guihaia argyrata, Guihaia grossifibrosa, Guihaia lancifolia, Lanonia dasyantha, Licuala fordiana, Livistona chinensis, Livistona saribus, Livistona speciosa, Phoenix dactylifera, Phoenix loureiroi, Phoenix sylvestris, Pinanga baviensis, Plectocomia pierreana, Rhapis excelsa, Rhapis gracilis, Rhapis humilis, Rhapis robusta, Wallichia gracilis"
"CHT"	"Arenga micrantha, Calamus acanthospathus, Calamus flagellum, Pinanga gracilis, Wallichia triandra"
"CHX"	"NA"
"CKI"	"Cocos nucifera"
"CLC"	"Jubaea chilensis"
